listing_id,make,model,manufacture_year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,usd_pkr,price_per_cc,fuel_type_enc,transmission_enc,car_age,log_price
11450025,Mazda,Flair Wagon,2021,3500000.0,10000,Hybrid,Automatic,660.0,162.29,5303.030303030303,1,1,4,15.068273812173887
11450018,Suzuki,Wagon R,2022,2950000.0,104000,Petrol,Manual,1000.0,203.74,2950.0,0,0,3,14.897316067298997
11450010,Honda,Vezel,2015,4500000.0,80000,Hybrid,Automatic,1500.0,104.24,3000.0,1,1,10,15.319588176962746
11450008,Toyota,Prado,2017,28500000.0,67000,Petrol,Automatic,4000.0,105.49,7125.0,0,1,8,17.1654146803266
11449992,Toyota,Hilux,2022,12900000.0,33000,Diesel,Automatic,2800.0,203.74,4607.142857142857,2,1,3,16.372737946851277
11328119,KIA,Sorento,2024,8500000.0,8400,Petrol,Automatic,2400.0,277.63,3541.6666666666665,0,1,1,15.955576839107596
11372470,Toyota,Corolla Cross,2024,8200000.0,35000,Hybrid,Automatic,1800.0,277.63,4555.555555555556,1,1,1,15.919644834185693
11450023,Toyota,Corolla,2015,3550000.0,159000,Petrol,Automatic,1300.0,104.24,2730.769230769231,0,1,10,15.0824584431417
11450019,Suzuki,Alto,2023,2790000.0,6500,Petrol,Manual,660.0,278.85,4227.272727272727,0,0,2,14.841552512220423
11347008,Toyota,Raize,2020,5780000.0,64000,Petrol,Automatic,1000.0,161.28,5780.0,0,1,5,15.569914413658926
11335823,Honda,Vezel,2019,6300000.0,111000,Hybrid,Automatic,1500.0,149.69,4200.0,1,1,6,15.656060350091908
11118008,Proton,X70,2022,5650000.0,67000,Petrol,Automatic,1500.0,203.74,3766.6666666666665,0,1,3,15.547166280113759
11346884,Toyota,Corolla,2022,6550000.0,72000,Petrol,Automatic,1800.0,203.74,3638.8888888888887,0,1,3,15.694975760283178
11343806,Honda,Vezel,2019,7200000.0,99000,Hybrid,Automatic,1500.0,149.69,4800.0,1,1,6,15.789591722875162
11450007,Honda,City,2024,3500000.0,55000,Petrol,Automatic,1200.0,277.63,2916.6666666666665,0,1,1,15.068273812173887
11450011,Honda,BR-V,2017,4100000.0,148000,Petrol,Automatic,1500.0,105.49,2733.333333333333,0,1,8,15.226497775576945
11450003,MG,HS,2021,6275000.0,60000,Petrol,Automatic,1490.0,162.29,4211.4093959731545,0,1,4,15.652084202344659
11449988,Toyota,Prado,2016,27500000.0,67000,Petrol,Automatic,4000.0,104.65,6875.0,0,1,9,17.129696599000436
11449986,Toyota,Yaris Sedan,2021,4100000.0,77000,Petrol,Automatic,1300.0,162.29,3153.846153846154,0,1,4,15.226497775576945
11449952,KIA,Sportage,2020,6500000.0,70000,Petrol,Automatic,2000.0,161.28,3250.0,0,1,5,15.687312888712007
11449956,Toyota,Corolla,2025,7900000.0,18000,Petrol,Automatic,1800.0,280.67,4388.888888888889,0,1,0,15.882373444019521
11449947,Jetour,Dashing,2025,7800000.0,17300,Petrol,Automatic,1498.0,280.67,5206.94259012016,0,1,0,15.86963441986494
11449948,Toyota,Vitz,2018,3675000.0,64500,Petrol,Automatic,996.0,121.03,3689.759036144578,0,1,7,15.11706396273788
11449944,Changan,Oshan X7,2025,8950000.0,11000,Petrol,Automatic,1500.0,280.67,5966.666666666667,0,1,0,16.007164201982874
11449938,Hyundai,Sonata,2021,9600000.0,9000,Petrol,Automatic,2500.0,162.29,3840.0,0,1,4,16.077273760604726
11449932,Toyota,Vitz,2015,3390000.0,92000,Petrol,Automatic,1000.0,104.24,3390.0,0,1,10,15.03634077434184
11449922,KIA,Sportage,2024,7700000.0,55500,Petrol,Automatic,2000.0,277.63,3850.0,0,1,1,15.856731016694035
11450002,Toyota,Yaris Sedan,2022,4780000.0,59000,Petrol,Automatic,1500.0,203.74,3186.6666666666665,0,1,3,15.379951313672638
11450001,MG,HS,2021,5950000.0,39000,Petrol,Automatic,1500.0,162.29,3966.6666666666665,0,1,4,15.598901945589025
11449993,Haval,Jolion,2021,7250000.0,42000,Petrol,Automatic,1500.0,162.29,4833.333333333333,0,1,4,15.796512164761882
11449989,Toyota,Corolla,2018,6550000.0,48000,Petrol,Manual,1300.0,121.03,5038.461538461538,0,0,7,15.694975760283178
11449985,Suzuki,Swift,2024,4550000.0,26000,Petrol,Automatic,1200.0,277.63,3791.6666666666665,0,1,1,15.330638010707329
11449979,KIA,Picanto,2021,2680000.0,35000,Petrol,Automatic,1000.0,162.29,2680.0,0,1,4,14.801327725621299
11328949,KIA,Picanto,2022,2600000.0,51000,Petrol,Manual,1000.0,203.74,2600.0,0,0,3,14.77102238760702
11388872,Suzuki,APV,2017,4650000.0,98000,Petrol,Manual,1500.0,105.49,3100.0,0,0,8,15.35237799261728
11449975,Suzuki,Mehran,2018,1500000.0,95000,Petrol,Manual,796.0,121.03,1884.422110552764,0,0,7,14.220976332738882
11449973,Suzuki,Swift,2015,2520000.0,147000,Petrol,Manual,1300.0,104.24,1938.4615384615383,0,0,10,14.739769856312924
